crash_date,case_id,crash_id,lat,lon,geocoded,fatality,serious_injury
2015-04-08,151680602,14525264,30.27932,-97.68652,Here,,Y
2014-12-08,151401808,14219868,30.25401,-97.71517,Here,,Y
2015-06-22,151010034,14501325,30.33512,-97.66288,Here,,Y
2015-06-17,151031314,14499652,30.37505,-97.61238,Here,,Y
2015-05-20,102400988,14498606,30.492496,-97.772872,Here,,Y
2015-04-11,101012203,14383990,30.40136,-97.73545,Here,,Y
2015-04-13,100250436,14378487,30.15957,-97.77587,Here,,Y
2010-08-28,191450717,11596532,30.241425,-97.689763,Here,,Y
2010-04-11,163511164,11299481,30.214754,-97.663059,Here,,Y
2010-01-25,180861274,11169639,30.2356,-97.68662,Here,,Y
2019-05-25,150110733,17092347,30.443856,-97.787111,Here,,Y
2016-12-16,151561336,15514307,30.439109,-97.699434,Here,,Y
2018-03-27,142891410,16327478,30.43742,-97.83741,Here,,Y
2015-01-11,142700030,14218573,30.25347,-97.80922,Here,,Y
2015-06-05,152631261,14474937,30.37441,-97.71347,Here,,Y
2014-10-16,151520189,14079907,30.261971,-97.708979,Here,,Y
2014-09-27,142760692,14072617,30.356018,-97.684057,Here,,Y
2015-09-20,151401316,14663851,30.252019,-97.709529,Here,,Y
2015-06-01,151131289,14465098,30.231737,-97.720473,Here,,Y
2014-09-24,150911224,14053279,30.38287,-97.74473,Here,,Y
2015-05-20,143270187,14448580,30.25193,-97.706814,Here,,Y
2015-04-23,143010510,14403079,30.233279,-97.72024,Here,,Y
2015-04-01,142830556,14360660,30.20129,-97.800918,Here,,Y
2014-11-23,142981151,14179420,30.19564,-97.75832,Here,,Y
2014-10-28,152820464,14092342,30.429472,-97.701848,Here,,Y
2014-10-10,153361224,14091504,30.404108,-97.846865,Here,,Y
2014-10-25,143491451,14089576,30.19794,-97.81587,Here,,Y
2015-10-09,150750211,14695055,30.25347,-97.80922,Here,,Y
2015-12-02,143351241,14788573,30.35264,-97.756,Here,,Y
2014-12-15,143180959,14176973,30.37674,-97.67762,Here,,Y
2015-03-16,142150572,14329323,30.19489,-97.76827,Here,,Y
2014-12-01,160990495,14188739,30.240579,-97.817451,Here,,Y
2014-11-14,141900156,14127617,30.200505,-97.633413,Here,,Y
2014-08-03,143330475,13955779,30.177144,-97.780123,Here,,Y
2016-04-08,153360930,15024934,30.30336,-97.66175,Here,,Y
